character,script_line,season,episode,begin,end,duration,episode_index,bad_words,is_male,is_character
Gabriele Marchilli,non ci posso credere guarda chi ci sta,1,1,3312400000,3350800000,38400000,50,0,1.0,1
Gabriele Marchilli,sì che ti serve,1,1,3627600000,3656800000,29200000,56,0,1.0,1
Saverio Boiardo Guerri,lo sai chi sono io sì,1,1,3854000000,3866000000,12000000,58,0,1.0,1
Saverio Boiardo Guerri,meno male così evitiamo le presentazioni e arriviamo subito al dunque,1,1,3883200000,3918800000,35600000,59,0,1.0,1
Saverio Boiardo Guerri,facciamo due passi vieni,1,1,3928400000,3940400000,12000000,60,0,1.0,1
Saverio Boiardo Guerri,sai che c è tu sei un bravo ragazzo intelligente caruccio,1,1,3958000000,3996000000,38000000,61,0,1.0,1
Saverio Boiardo Guerri,però hai fatto una cosa che non dovevi fare,1,1,3996800000,4021200000,24400000,62,0,1.0,1
Saverio Boiardo Guerri,ti sei messo a spacciare le pasticche tue nella palestra di samurai,1,1,4027600000,4057600000,30000000,63,0,1.0,1
Saverio Boiardo Guerri,ma che ti dice sta capoccia,1,1,4069200000,4083200000,14000000,64,0,1.0,1
Saverio Boiardo Guerri,mannaggia a te,1,1,4094400000,4108400000,14000000,65,1,1.0,1
Saverio Boiardo Guerri,mo lui lo sai com è no c è rimasto male,1,1,4152800000,4179200000,26400000,66,0,1.0,1
Saverio Boiardo Guerri,anzi s è proprio incazzato,1,1,4180000000,4197200000,17200000,67,1,1.0,1
Saverio Boiardo Guerri,pensa che voleva i soldi del danno più gli interessi,1,1,4198000000,4226400000,28400000,68,0,1.0,1
Saverio Boiardo Guerri,ma siccome è una persona generosa,1,1,4234000000,4252000000,18000000,69,0,1.0,1
Saverio Boiardo Guerri,vuole solo 20 000 euro,1,1,4271600000,4287200000,15600000,70,0,1.0,1
Gabriele Marchilli,come 20 000 euro,1,1,4304000000,4318800000,14800000,71,0,1.0,1
Gabriele Marchilli,avrò venduto cinque piotte di pasticche che siete matti,1,1,4319600000,4346000000,26400000,72,0,1.0,1
Saverio Boiardo Guerri,come cazzo ti permetti eh,1,1,4380000000,4395600000,15600000,73,1,1.0,1
Saverio Boiardo Guerri,prima di tutto quando ti dico una cosa io stai muto,1,1,4396400000,4419600000,23200000,74,0,1.0,1
Saverio Boiardo Guerri,secondo hai 24 ore di tempo per portarmi i soldi,1,1,4420400000,4445200000,24800000,75,0,1.0,1
Saverio Boiardo Guerri,hai capito,1,1,4446000000,4454800000,8800000,76,0,1.0,1
Gabriele Marchilli,sì,1,1,4446000000,4454800000,8800000,77,0,1.0,1
Saverio Boiardo Guerri,oh hai capito,1,1,4460400000,4478400000,18000000,78,0,1.0,1
Saverio Boiardo Guerri,mo vatti a divertire forza,1,1,4486400000,4506800000,20400000,79,0,1.0,1
Saverio Boiardo Guerri,andiamo cla,1,1,4541200000,4553200000,12000000,80,0,1.0,1
Manfredi Anacleti,adesso sei tu lo sposo,1,1,4804000000,4822800000,18800000,81,0,1.0,1
Manfredi Anacleti,onora il cognome che porti e le nostre tradizioni,1,1,4828400000,4861600000,33200000,82,0,1.0,1
Manfredi Anacleti,avanti,1,1,4883200000,4894800000,11600000,83,0,1.0,1
Manfredi Anacleti,avanti spadi,1,1,4903600000,4918400000,14800000,84,0,1.0,1
Manfredi Anacleti,avanti,1,1,4928800000,4938000000,9200000,85,0,1.0,1
Manfredi Anacleti,avanti spadi,1,1,4957200000,4971200000,14000000,86,0,1.0,1
Manfredi Anacleti,ammazza sta bestia spadi,1,1,5004800000,5025200000,20400000,87,0,1.0,1
Manfredi Anacleti,avanti levati,1,1,5050400000,5068800000,18400000,88,0,1.0,1
Manfredi Anacleti,ammazzala,1,1,5091600000,5100800000,9200000,89,0,1.0,1
Manfredi Anacleti,ammazzala spadi ammazzala,1,1,5125599999,5152400000,26800001,90,0,1.0,1
Manfredi Anacleti,fa l uomo,1,1,5167600000,5187999999,20399999,91,0,1.0,1
Manfredi Anacleti,ammazzala,1,1,5199199999,5212400000,13200001,92,0,1.0,1
Manfredi Anacleti,ci voleva tanto,1,1,5312800000,5332000000,19200000,94,0,1.0,1
Alberto Anacleti,è che non mi volevo sporcare,1,1,5332800000,5354000000,21200000,95,0,1.0,1
Manfredi Anacleti,mo puoi conoscere la sposa,1,1,5414800000,5433200000,18400000,97,0,1.0,1
Giacomo Finucci,il sindaco si dimette,1,1,5544000000,5558000000,14000000,100,0,1.0,1
Giacomo Finucci,e sto andando ora alla riunione del consiglio,1,1,5558800000,5584400000,25600000,101,0,1.0,1
Samurai Valerio,quindi,1,1,5585200000,5594000000,8800000,102,0,1.0,1
Giacomo Finucci,il piano regolatore è approvato ma per sapere chi ci si arricchirà sopra,1,1,5594800000,5632400000,37600000,103,0,1.0,1
Giacomo Finucci,bisogna farlo in 20 giorni il tempo che le dimissioni diventano effettive,1,1,5633200000,5668800000,35600000,104,0,1.0,1
Giacomo Finucci,ti devi sbrigare,1,1,5669600000,5698000000,28400000,105,0,1.0,1
Samurai Valerio,ti pago per risolvere i problemi,1,1,5669600000,5698000000,28400000,106,0,1.0,1
Giacomo Finucci,io sono un tecnico,1,1,5698800000,5710800000,12000000,107,0,1.0,1
Giacomo Finucci,posso dire che il tuo progetto per ostia rispetta la legge,1,1,5711600000,5741200000,29600000,108,0,1.0,1
Giacomo Finucci,ma per farlo me lo devono mettere sul tavolo devono dargli priorità,1,1,5742000000,5774800000,32800000,109,0,1.0,1
Giacomo Finucci,ti serve la politica,1,1,5802000000,5826000000,24000000,111,0,1.0,1
Samurai Valerio,chi,1,1,5844000000,5862800000,18800000,112,0,1.0,1
Giacomo Finucci,cinaglia,1,1,5844000000,5862800000,18800000,113,0,1.0,1
Giacomo Finucci,il presidente della commissione edilizia,1,1,5868400000,5890000000,21600000,114,0,1.0,1
Giacomo Finucci,un rappresentante del popolo,1,1,5890800000,5910400000,19600000,115,0,1.0,1
Giacomo Finucci,un frustrato con gli ideali,1,1,5911200000,5926400000,15200000,116,0,1.0,1
Samurai Valerio,che c è,1,1,5983600000,6006400000,22800000,117,0,1.0,1
Saverio Boiardo Guerri,c è un problema con gli zingari,1,1,5983600000,6006400000,22800000,118,0,1.0,1
Samurai Valerio,va bene france mi pare che si è scaricato,1,1,6032400000,6056400000,24000000,119,0,1.0,1
Sandro Monaschi,sara,1,1,6149600000,6158000000,8400000,123,0,1.0,1
Sara Monaschi,d accordo,1,1,6204800000,6214800000,10000000,125,0,0.0,1
Sara Monaschi,la commissione è spaccata e l altro consorzio è in mano alla maggioranza,1,1,6218800000,6252800000,34000000,126,0,0.0,1
Sandro Monaschi,sara,1,1,6253600000,6271200000,17600000,127,0,1.0,1
Sara Monaschi,arrivo,1,1,6253600000,6271200000,17600000,128,0,0.0,1
Sara Monaschi,quello che conta è il voto del monsignor theodosiou,1,1,6274800000,6298400000,23600000,129,0,0.0,1
Sara Monaschi,sono mesi che ci lavoro,1,1,6299200000,6312800000,13600000,130,0,0.0,1
Sara Monaschi,va bene oggi lo inchioderò,1,1,6331600000,6348800000,17200000,131,0,0.0,1
Sara Monaschi,la richiamo dopo,1,1,6361200000,6372800000,11600000,132,0,0.0,1
Sandro Monaschi,che facciamo,1,1,6487600000,6497600000,10000000,136,0,1.0,1
Sara Monaschi,hanno 20 giorni per chiudere tutto e per decidere chi costruisce e dove,1,1,6514800000,6549200000,34400000,137,0,0.0,1
Sandro Monaschi,abbiamo tempo sara,1,1,6577200000,6588400000,11200000,138,0,1.0,1
Sandro Monaschi,e lo sai bene,1,1,6594800000,6604800000,10000000,139,0,1.0,1
Sandro Monaschi,siamo pieni di debiti e non mi va di finire in bancarotta,1,1,6605600000,6639200000,33600000,140,0,1.0,1
Sara Monaschi,sì ma a questo punto anche loro,1,1,6640000000,6658800000,18800000,141,0,0.0,1
Sara Monaschi,tra i bilanci in rosso e i vescovi sotto processo in america,1,1,6666400000,6696800000,30400000,142,0,0.0,1
Sara Monaschi,hanno bisogno di soldi devono vendere,1,1,6702400000,6727200000,24800000,143,0,0.0,1
Sara Monaschi,chi viene oggi dal papa,1,1,6739600000,6769200000,29600000,144,0,0.0,1
Sandro Monaschi,i reali di svezia,1,1,6739600000,6769200000,29600000,145,0,1.0,1
Sara Monaschi,e allora sarà una cosa lunga,1,1,6770000000,6787200000,17200000,146,0,0.0,1
Sandro Monaschi,fammi sapere come va la riunione,1,1,6818400000,6833200000,14800000,147,0,1.0,1
Sara Monaschi,scappo,1,1,6847200000,6856000000,8800000,148,0,0.0,1
Sara Monaschi,tranquillo,1,1,6869600000,6880000000,10400000,149,0,0.0,1
Giacomo Finucci,cinaglia,1,1,6949600000,6959600000,10000000,151,0,1.0,1
Giacomo Finucci,ho sentito dire che il suo partito vuole dare un segnale di svolta,1,1,6970000000,7004800000,34800000,152,0,1.0,1
Giacomo Finucci,facce nuove in campidoglio sono anni che lei sta in consiglio no,1,1,7005600000,7046000000,40400000,153,0,1.0,1
Amedeo Cinaglia,ho sempre preso parecchi voti,1,1,7050800000,7083200000,32400000,154,0,1.0,1
Giacomo Finucci,lo so bene,1,1,7050800000,7083200000,32400000,155,0,1.0,1
Giacomo Finucci,quello che le sto dicendo è che stavolta però,1,1,7093200000,7115600000,22400000,156,0,1.0,1
Giacomo Finucci,rischia di rimanere fuori dalle liste dei candidati,1,1,7116400000,7142400000,26000000,157,0,1.0,1
Giacomo Finucci,rischia di restare a casa,1,1,7148000000,7161600000,13600000,158,0,1.0,1
Amedeo Cinaglia,fortunatamente questo non la riguarda no finucci,1,1,7162400000,7189600000,27200000,159,0,1.0,1
Giacomo Finucci,ha ragione ma mi dia retta,1,1,7190400000,7205200000,14800000,160,0,1.0,1
Giacomo Finucci,gli anni qua dentro non si buttano via così,1,1,7206000000,7229600000,23600000,161,0,1.0,1
Giacomo Finucci,lei dovrebbe avere un incarico più importante di quello che ha,1,1,7230400000,7263200000,32800000,162,0,1.0,1
Giacomo Finucci,un assessorato,1,1,7264000000,7277200000,13200000,163,0,1.0,1
Giacomo Finucci,ne parli col sindaco o con qualcuno che conta veramente,1,1,7291600000,7322000000,30400000,164,0,1.0,1
Giacomo Finucci,la sua ex moglie,1,1,7322800000,7333200000,10400000,165,0,1.0,1
Amedeo Cinaglia,arrivederci,1,1,7369200000,7378000000,8800000,166,0,1.0,1
Manfredi Anacleti,hai finito spadi eh,1,1,7832000000,7857200000,25200000,173,0,1.0,1
Alberto Anacleti,che vuoi,1,1,7876800000,7899600000,22800000,174,0,1.0,1
Manfredi Anacleti,va con lui,1,1,7876800000,7899600000,22800000,175,0,1.0,1
Alberto Anacleti,dove,1,1,7908800000,7932000000,23200000,176,0,1.0,1
Manfredi Anacleti,vai con lui,1,1,7908800000,7932000000,23200000,177,0,1.0,1
Manfredi Anacleti,che c è,1,1,7996000000,8011600000,15600000,178,0,1.0,1
Manfredi Anacleti,vai,1,1,8160000000,8168800000,8800000,180,0,1.0,1
Manfredi Anacleti,improvvisatona eh,1,1,8178400000,8194800000,16400000,181,0,1.0,1
Manfredi Anacleti,entra oggi è un giorno di festa,1,1,8229200000,8243200000,14000000,182,0,1.0,1
Manfredi Anacleti,vieni a prendere un caffè mio fratello si fidanza,1,1,8244000000,8265600000,21600000,183,0,1.0,1
Samurai Valerio,stiamo bene qua,1,1,8266400000,8274800000,8400000,184,0,1.0,1
Samurai Valerio,non sono venuto per gli auguri,1,1,8281200000,8297200000,16000000,185,0,1.0,1
Samurai Valerio,hai mandato un coglione a rompere il cazzo a un locale degli adami ieri sera eh,1,1,8306800000,8343600000,36800000,186,1,1.0,1
Samurai Valerio,che c è ti vuoi allargare,1,1,8355200000,8372800000,17600000,187,0,1.0,1
Manfredi Anacleti,mica sono zone tue,1,1,8373600000,8393600000,20000000,188,0,1.0,1
Samurai Valerio,tutta roma è zona mia,1,1,8394400000,8410400000,16000000,189,0,1.0,1
Manfredi Anacleti,boris è un pischello stava lì per divertirsi,1,1,8439200000,8463600000,24400000,190,0,1.0,1
Manfredi Anacleti,sono sti cazzo di adami che hanno il minimo alto,1,1,8464400000,8489200000,24800000,191,1,1.0,1
Manfredi Anacleti,vai a domandare a loro come sono andate le cose,1,1,8490000000,8512000000,22000000,192,0,1.0,1
Samurai Valerio,forse tu non capisci bene l italiano,1,1,8517600000,8536000000,18400000,193,0,1.0,1
Samurai Valerio,io il sinti non lo parlo e neanche m interessa di impararlo,1,1,8541200000,8571200000,30000000,194,0,1.0,1
Samurai Valerio,è la prima e l ultima volta che vengo in questo posto di merda a dirtelo,1,1,8581600000,8621200000,39600000,195,1,1.0,1
Samurai Valerio,attento a fare scoppiare la guerra la perdi,1,1,8622000000,8653600000,31600000,196,0,1.0,1
Samurai Valerio,e lo sai,1,1,8661200000,8672000000,10800000,197,0,1.0,1
Manfredi Anacleti,sì ma l offesa a mio cugino rimane e quello bisogna calmarlo che dici,1,1,8677600000,8716800000,39200000,198,0,1.0,1
Samurai Valerio,vedo che sei svelto a capire,1,1,8730400000,8746000000,15600000,199,0,1.0,1
Samurai Valerio,quanto ti devono dare per chiudere sta storia,1,1,8763600000,8784000000,20400000,200,0,1.0,1
Monsignor Theodosiou,la situazione del nostro bilancio è critica,1,1,8885600000,8911600000,26000000,201,0,1.0,1
Monsignor Theodosiou,ma noi siamo chiamati a dare fondamento alla speranza,1,1,8917600000,8946400000,28800000,202,0,1.0,1
Cardinale Cosimo Giunti,l offerta di cui ti parlavo per i nostri terreni di ostia,1,1,8955200000,8985200000,30000000,203,0,1.0,1
Cardinale Cosimo Giunti,ricevuta dal consorzio specchio azzurro,1,1,8986000000,9013600000,27600000,204,0,1.0,1
Cardinale Cosimo Giunti,è importante proprio perché può dare fondamento,1,1,9014400000,9042800000,28400000,205,0,1.0,1
Cardinale Cosimo Giunti,alla speranza di risanare almeno in parte il nostro bilancio,1,1,9047600000,9104800000,57200000,206,0,1.0,1
Monsignor Theodosiou,cosimo è vero,1,1,9114400000,9127600000,13200000,207,0,1.0,1
Monsignor Theodosiou,noi però dobbiamo sapere a chi vendiamo,1,1,9128400000,9150400000,22000000,208,0,1.0,1
Monsignor Theodosiou,io voglio che le nostre vendite siano cristalline,1,1,9151200000,9178000000,26800000,209,0,1.0,1
Cardinale Cosimo Giunti,lei è il nostro revisore dei conti,1,1,9209600000,9228400000,18800000,210,0,1.0,1
Cardinale Cosimo Giunti,allora spieghi lei dr ssa monaschi,1,1,9229200000,9250800000,21600000,211,0,1.0,1
Cardinale Cosimo Giunti,che a volte è difficile dire di no a certe offerte,1,1,9251600000,9287200000,35600000,212,0,1.0,1
Sara Monaschi,eminenza la nostra situazione di bilancio è molto critica,1,1,9288000000,9318400000,30400000,213,0,0.0,1
Sara Monaschi,ma condivido le preoccupazioni di monsignor theodosiou,1,1,9319200000,9349600000,30400000,214,0,0.0,1
Cardinale Cosimo Giunti,ascolti dottoressa,1,1,9350400000,9365200000,14800000,215,0,1.0,1
Monsignor Theodosiou,io voglio che ognuno di noi pensi bene a cosa è meglio per la chiesa,1,1,9375600000,9415200000,39600000,216,0,1.0,1
Monsignor Theodosiou,e per pensare bene è necessario prendersi delle pause,1,1,9424000000,9454000000,30000000,217,0,1.0,1
Monsignor Theodosiou,la riunione è aggiornata fratelli,1,1,9470000000,9489200000,19200000,218,0,1.0,1
Sara Monaschi,monsignore mi scusi,1,1,9606000000,9621200000,15200000,219,0,0.0,1
Sara Monaschi,penso sia il caso che la pausa che ha chiesto non sia troppo lunga,1,1,9626800000,9662800000,36000000,220,0,0.0,1
Sara Monaschi,il sindaco si è appena dimesso e,1,1,9673600000,9696800000,23200000,221,0,0.0,1
Monsignor Theodosiou,lo so,1,1,9673600000,9696800000,23200000,222,0,1.0,1
Monsignor Theodosiou,ma come ha detto anche lei bisogna valutare con molta attenzione,1,1,9709200000,9737600000,28400000,223,0,1.0,1
Monsignor Theodosiou,la società a cui vendiamo,1,1,9738400000,9751200000,12800000,224,0,1.0,1
Monsignor Theodosiou,sia il consorzio che la edilcigno di cui fa parte suo marito,1,1,9767200000,9802800000,35600000,225,0,1.0,1
Sara Monaschi,certo,1,1,9819200000,9829200000,10000000,226,0,0.0,1
Sara Monaschi,magari,1,1,9853600000,9864400000,10800000,227,0,0.0,1
Sara Monaschi,una di quelle,1,1,9869200000,9880400000,11200000,228,0,0.0,1
Sara Monaschi,serate senza pensieri può aiutarla a velocizzare queste pratiche,1,1,9886800000,9924800000,38000000,229,0,0.0,1
Monsignor Theodosiou,vogliamo fare stasera,1,1,10042800000,10058400000,15600000,230,0,1.0,1
Sara Monaschi,stasera,1,1,10059200000,10072800000,13600000,231,0,0.0,1
Sara Monaschi,perché no,1,1,10083600000,10094400000,10800000,232,0,0.0,1
Monsignor Theodosiou,mi fa sapere lei,1,1,10111600000,10125200000,13600000,233,0,1.0,1
Sara Monaschi,ci penso io,1,1,10142400000,10153600000,11200000,234,0,0.0,1
Aureliano Adami,hai messo lo zucchero,1,1,10382400000,10398399999,15999999,236,0,1.0,1
Livia Adami,sì,1,1,10382400000,10398399999,15999999,237,0,0.0,1
Aureliano Adami,hai visto tuo padre sì,1,1,10424400000,10440000000,15600000,238,0,1.0,1
Aureliano Adami,lo schiavo del samurai,1,1,10451600000,10465999999,14399999,239,0,1.0,1
Livia Adami,almeno è schiavo di uno potente,1,1,10466800000,10485600000,18800000,240,0,0.0,1
Tullio Adami,oh ma che cazzo hai fatto,1,1,10486400000,10508000000,21600000,241,1,1.0,1
Aureliano Adami,niente che ho fatto,1,1,10522000000,10546800000,24800000,242,0,1.0,1
Tullio Adami,hai menato un anacleti,1,1,10522000000,10546800000,24800000,243,0,1.0,1
Aureliano Adami,mo te li dice samurai i cazzi di tuo figlio,1,1,10547600000,10569200000,21600000,244,1,1.0,1
Tullio Adami,no mi dice che sei un coglione quello che dice tutta roma,1,1,10570000000,10595600000,25600000,245,1,1.0,1
Livia Adami,stavano in un locale nostro papà,1,1,10596400000,10619200000,22800000,246,0,0.0,1
Aureliano Adami,ecco,1,1,10596400000,10619200000,22800000,247,0,1.0,1
Aureliano Adami,mo ha capito che non lo può fare,1,1,10620000000,10648000000,28000000,248,0,1.0,1
Tullio Adami,no invece tu adesso vai lì,1,1,10620000000,10648000000,28000000,249,0,1.0,1
Tullio Adami,gli vai a chiedere scusa e gli porti i soldi,1,1,10648800000,10670800000,22000000,250,0,1.0,1
Tullio Adami,i tuoi per la precisione quelli che prendi dalla roba dei cancelli,1,1,10671600000,10699200000,27600000,251,0,1.0,1
Aureliano Adami,ma stai zitto il samurai parla e tu apri la bocca sei un pupazzo,1,1,10700000000,10730400000,30400000,252,0,1.0,1
Tullio Adami,testa di cazzo,1,1,10731200000,10746400000,15200000,253,1,1.0,1
Livia Adami,stai buono,1,1,10731200000,10746400000,15200000,254,0,0.0,1
Livia Adami,vai di là per favore,1,1,10747200000,10759600000,12400000,255,0,0.0,1
Livia Adami,stai calmo,1,1,10760400000,10774400000,14000000,256,0,0.0,1
Boris,guarda che spettacolo questa,1,1,10809600000,10827600000,18000000,257,0,1.0,1
Boris,dodici cilindri,1,1,10828400000,10841200000,12800000,258,0,1.0,1
Boris,tuo fratello sta sbroccando spadi non ci sta più col cervello,1,1,10850400000,10882400000,32000000,259,0,1.0,1
Boris,col fatto che ti sposi con una sale è convinto che ci possiamo allargare,1,1,10887600000,10925200000,37600000,260,0,1.0,1
Boris,mi ha mandato al locale degli adami così per vedere come reagivano,1,1,10926000000,10962000000,36000000,261,0,1.0,1
Boris,guarda qua,1,1,10977200000,10991200000,14000000,262,0,1.0,1
Boris,ma sei contento sì,1,1,10992000000,11009200000,17200000,263,0,1.0,1
Boris,devi scegliere una macchina di un certo stile spadi,1,1,11023200000,11050000000,26800000,264,0,1.0,1
Boris,alla fine sta angelica deve essere tua per tutta la vita no,1,1,11056000000,11082400000,26400000,265,0,1.0,1
Boris,tie oh,1,1,11088400000,11102000000,13600000,266,0,1.0,1
Boris,ti presenti con una di queste,1,1,11112800000,11136800000,24000000,267,0,1.0,1
Boris,ti casca ai piedi,1,1,11137600000,11158000000,20400000,268,0,1.0,1
Franco Marchilli,lele,1,1,11188000000,11208000000,20000000,270,0,1.0,1
Franco Marchilli,sempre due ore dentro a sto bagno stai,1,1,11217200000,11240000000,22800000,271,0,1.0,1
Gabriele Marchilli,papà hai fatto colazione,1,1,11246000000,11275600000,29600000,272,0,1.0,1
Franco Marchilli,che hai fatto al labbro,1,1,11246000000,11275600000,29600000,273,0,1.0,1
Gabriele Marchilli,niente dai fammi andare che è tardi,1,1,11276400000,11296400000,20000000,274,0,1.0,1
Franco Marchilli,che hai stamattina ti vedo nervoso,1,1,11325600000,11349600000,24000000,275,0,1.0,1
Franco Marchilli,è successo qualcosa,1,1,11353600000,11365600000,12000000,276,0,1.0,1
Gabriele Marchilli,no niente pa,1,1,11370400000,11380400000,10000000,277,0,1.0,1
Franco Marchilli,problemi all università,1,1,11381200000,11406800000,25600000,278,0,1.0,1
Gabriele Marchilli,no tranquillo,1,1,11381200000,11406800000,25600000,279,0,1.0,1
Franco Marchilli,dai che manca poco,1,1,11407600000,11421200000,13600000,280,0,1.0,1
Franco Marchilli,ti aspetto da gianni,1,1,11439600000,11456000000,16400000,281,0,1.0,1
Gabriele Marchilli,sì,1,1,11466400000,11474800000,8400000,282,0,1.0,1
Gabriele Marchilli,scusa sto in ritardo,1,1,11475600000,11490000000,14400000,283,0,1.0,1
Franco Marchilli,ciao,1,1,11519600000,11528400000,8800000,284,0,1.0,1
Gabriele Marchilli,ciao,1,1,11536000000,11544400000,8400000,285,0,1.0,1
Gabriele Marchilli,sì,1,1,11655200000,11663600000,8400000,287,0,1.0,1
Gabriele Marchilli,mi devi aiutare marco,1,1,11668800000,11681200000,12400000,288,0,1.0,1
Gabriele Marchilli,ho fatto un casino ho fatto incazzare uno grosso e gli devo dare 20 000 euro,1,1,11688400000,11725600000,37200000,289,1,1.0,1
Gabriele Marchilli,oggi ti prego,1,1,11731600000,11744800000,13200000,290,0,1.0,1
Gabriele Marchilli,marco,1,1,11776800000,11788000000,11200000,291,0,1.0,1
Gabriele Marchilli,cazzo,1,1,11803600000,11817600000,14000000,292,1,1.0,1
Gabriele Marchilli,fanculo,1,1,11828000000,11842400000,14400000,293,1,1.0,1
Gabriele Marchilli,ehi sara,1,1,12054800000,12065600000,10800000,295,0,1.0,1
Gabriele Marchilli,come stai,1,1,12071200000,12080000000,8800000,296,0,1.0,1
Gabriele Marchilli,ehm,1,1,12116000000,12125600000,9600000,297,0,1.0,1
Gabriele Marchilli,oggi sto un po incasinato però,1,1,12134400000,12150400000,16000000,298,0,1.0,1
Gabriele Marchilli,però dai ce la potrei fare,1,1,12159600000,12171200000,11600000,299,0,1.0,1
Gabriele Marchilli,dove ci vediamo,1,1,12202400000,12215600000,13200000,300,0,1.0,1
Gabriele Marchilli,ok a dopo,1,1,12240000000,12259200000,19200000,301,0,1.0,1
Gabriele Marchilli,ciao,1,1,12268400000,12278800000,10400000,302,0,1.0,1
Samurai Valerio,presidente cinaglia,1,1,12463600000,12477600000,14000000,303,0,1.0,1
Samurai Valerio,avrei bisogno di un minuto del suo tempo,1,1,12516000000,12536000000,20000000,304,0,1.0,1
Samurai Valerio,cosa fa,1,1,12570400000,12581600000,11200000,305,0,1.0,1
Samurai Valerio,non è neanche curioso di sentire cosa ho da dirle,1,1,12582400000,12608000000,25600000,306,0,1.0,1
Amedeo Cinaglia,no,1,1,12613200000,12623200000,10000000,307,0,1.0,1
Amedeo Cinaglia,io da lei non voglio sentire niente arrivederci,1,1,12625200000,12648400000,23200000,308,0,1.0,1
Samurai Valerio,un politico che prende l autobus,1,1,13305200000,13327600000,22400000,309,0,1.0,1
Samurai Valerio,di solito ci salite in campagna elettorale a caccia di voti,1,1,13356000000,13386800000,30800000,310,0,1.0,1
Amedeo Cinaglia,io lo prendo tutti i giorni,1,1,13403600000,13417600000,14000000,311,0,1.0,1
Samurai Valerio,perché lei è un vero rappresentante del popolo,1,1,13448800000,13472400000,23600000,312,0,1.0,1
Amedeo Cinaglia,esatto solo che non rappresento quelli come lei,1,1,13473200000,13504800000,31600000,313,0,1.0,1
Samurai Valerio,dice,1,1,13505600000,13515600000,10000000,314,0,1.0,1
Samurai Valerio,pensi che io posso anche averla votata,1,1,13524000000,13551600000,27600000,315,0,1.0,1
Amedeo Cinaglia,lo escludo,1,1,13524000000,13551600000,27600000,316,0,1.0,1
Samurai Valerio,roma ha bisogno di politici come lei,1,1,13570400000,13592000000,21600000,317,0,1.0,1
Samurai Valerio,politici che stanno in mezzo alla gente e amano questa città,1,1,13603200000,13635600000,32400000,318,0,1.0,1
Samurai Valerio,vanno valorizzati questi uomini perché ce ne sono sempre di meno,1,1,13726400000,13762000000,35600000,319,0,1.0,1
Amedeo Cinaglia,certo e lei sa come valorizzarli,1,1,13770000000,13796000000,26000000,320,0,1.0,1
Amedeo Cinaglia,ma in cambio,1,1,13810000000,13821200000,11200000,321,0,1.0,1
Amedeo Cinaglia,cosa vuole,1,1,13832000000,13840400000,8400000,322,0,1.0,1
Samurai Valerio,io e lei vogliamo la stessa cosa,1,1,13856400000,13874800000,18400000,323,0,1.0,1
Samurai Valerio,il bene di roma,1,1,13893200000,13906400000,13200000,324,0,1.0,1
Sara Monaschi,ehi come stai,1,1,14305600000,14325200000,19600000,325,0,0.0,1
Gabriele Marchilli,ciao,1,1,14305600000,14325200000,19600000,326,0,1.0,1
Gabriele Marchilli,mi sei mancata,1,1,14362400000,14376800000,14400000,327,0,1.0,1
