character,script_line,episode,begin,end,duration,episode_index,bad_words,is_male
Sara Monaschi,arrivo,1,6253600000,6271200000,17600000,128,0,0
Sara Monaschi,quello che conta è il voto del monsignor theodosiou,1,6274800000,6298400000,23600000,129,0,0
Sara Monaschi,sono mesi che ci lavoro,1,6299200000,6312800000,13600000,130,0,0
Sara Monaschi,va bene oggi lo inchioderò,1,6331600000,6348800000,17200000,131,0,0
Sara Monaschi,la richiamo dopo,1,6361200000,6372800000,11600000,132,0,0
Sara Monaschi,hanno 20 giorni per chiudere tutto e per decidere chi costruisce e dove,1,6514800000,6549200000,34400000,137,0,0
Sara Monaschi,sì ma a questo punto anche loro,1,6640000000,6658800000,18800000,141,0,0
Sara Monaschi,tra i bilanci in rosso e i vescovi sotto processo in america,1,6666400000,6696800000,30400000,142,0,0
Sara Monaschi,hanno bisogno di soldi devono vendere,1,6702400000,6727200000,24800000,143,0,0
Sara Monaschi,chi viene oggi dal papa,1,6739600000,6769200000,29600000,144,0,0
Sara Monaschi,e allora sarà una cosa lunga,1,6770000000,6787200000,17200000,146,0,0
Sara Monaschi,scappo,1,6847200000,6856000000,8800000,148,0,0
Sara Monaschi,tranquillo,1,6869600000,6880000000,10400000,149,0,0
Amedeo Cinaglia,ho sempre preso parecchi voti,1,7050800000,7083200000,32400000,154,0,1
Amedeo Cinaglia,fortunatamente questo non la riguarda no finucci,1,7162400000,7189600000,27200000,159,0,1
Amedeo Cinaglia,arrivederci,1,7369200000,7378000000,8800000,166,0,1
Manfredi Anacleti,hai finito spadi eh,1,7832000000,7857200000,25200000,173,0,1
Alberto Anacleti,che vuoi,1,7876800000,7899600000,22800000,174,0,1
Manfredi Anacleti,va con lui,1,7876800000,7899600000,22800000,175,0,1
Alberto Anacleti,dove,1,7908800000,7932000000,23200000,176,0,1
Manfredi Anacleti,vai con lui,1,7908800000,7932000000,23200000,177,0,1
Manfredi Anacleti,che c è,1,7996000000,8011600000,15600000,178,0,1
Manfredi Anacleti,vai,1,8160000000,8168800000,8800000,180,0,1
Manfredi Anacleti,improvvisatona eh,1,8178400000,8194800000,16400000,181,0,1
Manfredi Anacleti,entra oggi è un giorno di festa,1,8229200000,8243200000,14000000,182,0,1
Manfredi Anacleti,vieni a prendere un caffè mio fratello si fidanza,1,8244000000,8265600000,21600000,183,0,1
Samurai Valerio,stiamo bene qua,1,8266400000,8274800000,8400000,184,0,1
Samurai Valerio,non sono venuto per gli auguri,1,8281200000,8297200000,16000000,185,0,1
Samurai Valerio,hai mandato un coglione a rompere il cazzo a un locale degli adami ieri sera eh,1,8306800000,8343600000,36800000,186,1,1
Samurai Valerio,che c è ti vuoi allargare,1,8355200000,8372800000,17600000,187,0,1
Manfredi Anacleti,mica sono zone tue,1,8373600000,8393600000,20000000,188,0,1
Samurai Valerio,tutta roma è zona mia,1,8394400000,8410400000,16000000,189,0,1
Manfredi Anacleti,boris è un pischello stava lì per divertirsi,1,8439200000,8463600000,24400000,190,0,1
Manfredi Anacleti,sono sti cazzo di adami che hanno il minimo alto,1,8464400000,8489200000,24800000,191,1,1
Manfredi Anacleti,vai a domandare a loro come sono andate le cose,1,8490000000,8512000000,22000000,192,0,1
Samurai Valerio,forse tu non capisci bene l italiano,1,8517600000,8536000000,18400000,193,0,1
Samurai Valerio,io il sinti non lo parlo e neanche m interessa di impararlo,1,8541200000,8571200000,30000000,194,0,1
Samurai Valerio,è la prima e l ultima volta che vengo in questo posto di merda a dirtelo,1,8581600000,8621200000,39600000,195,1,1
Samurai Valerio,attento a fare scoppiare la guerra la perdi,1,8622000000,8653600000,31600000,196,0,1
Samurai Valerio,e lo sai,1,8661200000,8672000000,10800000,197,0,1
Manfredi Anacleti,sì ma l offesa a mio cugino rimane e quello bisogna calmarlo che dici,1,8677600000,8716800000,39200000,198,0,1
Samurai Valerio,vedo che sei svelto a capire,1,8730400000,8746000000,15600000,199,0,1
Samurai Valerio,quanto ti devono dare per chiudere sta storia,1,8763600000,8784000000,20400000,200,0,1
Sara Monaschi,eminenza la nostra situazione di bilancio è molto critica,1,9288000000,9318400000,30400000,213,0,0
Sara Monaschi,ma condivido le preoccupazioni di monsignor theodosiou,1,9319200000,9349600000,30400000,214,0,0
Sara Monaschi,monsignore mi scusi,1,9606000000,9621200000,15200000,219,0,0
Sara Monaschi,penso sia il caso che la pausa che ha chiesto non sia troppo lunga,1,9626800000,9662800000,36000000,220,0,0
Sara Monaschi,il sindaco si è appena dimesso e,1,9673600000,9696800000,23200000,221,0,0
Sara Monaschi,certo,1,9819200000,9829200000,10000000,226,0,0
Sara Monaschi,magari,1,9853600000,9864400000,10800000,227,0,0
Sara Monaschi,una di quelle,1,9869200000,9880400000,11200000,228,0,0
Sara Monaschi,serate senza pensieri può aiutarla a velocizzare queste pratiche,1,9886800000,9924800000,38000000,229,0,0
Sara Monaschi,stasera,1,10059200000,10072800000,13600000,231,0,0
Sara Monaschi,perché no,1,10083600000,10094400000,10800000,232,0,0
Sara Monaschi,ci penso io,1,10142400000,10153600000,11200000,234,0,0
Aureliano Adami,hai messo lo zucchero,1,10382400000,10398399999,15999999,236,0,1
Livia Adami,sì,1,10382400000,10398399999,15999999,237,0,0
Aureliano Adami,hai visto tuo padre sì,1,10424400000,10440000000,15600000,238,0,1
Aureliano Adami,lo schiavo del samurai,1,10451600000,10465999999,14399999,239,0,1
Livia Adami,almeno è schiavo di uno potente,1,10466800000,10485600000,18800000,240,0,0
Aureliano Adami,niente che ho fatto,1,10522000000,10546800000,24800000,242,0,1
Aureliano Adami,mo te li dice samurai i cazzi di tuo figlio,1,10547600000,10569200000,21600000,244,1,1
Livia Adami,stavano in un locale nostro papà,1,10596400000,10619200000,22800000,246,0,0
Aureliano Adami,ecco,1,10596400000,10619200000,22800000,247,0,1
Aureliano Adami,mo ha capito che non lo può fare,1,10620000000,10648000000,28000000,248,0,1
Aureliano Adami,ma stai zitto il samurai parla e tu apri la bocca sei un pupazzo,1,10700000000,10730400000,30400000,252,0,1
Livia Adami,stai buono,1,10731200000,10746400000,15200000,254,0,0
Livia Adami,vai di là per favore,1,10747200000,10759600000,12400000,255,0,0
Livia Adami,stai calmo,1,10760400000,10774400000,14000000,256,0,0
Gabriele Marchilli,papà hai fatto colazione,1,11246000000,11275600000,29600000,272,0,1
Gabriele Marchilli,niente dai fammi andare che è tardi,1,11276400000,11296400000,20000000,274,0,1
Gabriele Marchilli,no niente pa,1,11370400000,11380400000,10000000,277,0,1
Gabriele Marchilli,no tranquillo,1,11381200000,11406800000,25600000,279,0,1
Gabriele Marchilli,sì,1,11466400000,11474800000,8400000,282,0,1
Gabriele Marchilli,scusa sto in ritardo,1,11475600000,11490000000,14400000,283,0,1
Gabriele Marchilli,ciao,1,11536000000,11544400000,8400000,285,0,1
Gabriele Marchilli,sì,1,11655200000,11663600000,8400000,287,0,1
Gabriele Marchilli,mi devi aiutare marco,1,11668800000,11681200000,12400000,288,0,1
Gabriele Marchilli,ho fatto un casino ho fatto incazzare uno grosso e gli devo dare 20 000 euro,1,11688400000,11725600000,37200000,289,1,1
Gabriele Marchilli,oggi ti prego,1,11731600000,11744800000,13200000,290,0,1
Gabriele Marchilli,marco,1,11776800000,11788000000,11200000,291,0,1
Gabriele Marchilli,cazzo,1,11803600000,11817600000,14000000,292,1,1
Gabriele Marchilli,fanculo,1,11828000000,11842400000,14400000,293,1,1
Gabriele Marchilli,ehi sara,1,12054800000,12065600000,10800000,295,0,1
Gabriele Marchilli,come stai,1,12071200000,12080000000,8800000,296,0,1
Gabriele Marchilli,ehm,1,12116000000,12125600000,9600000,297,0,1
Gabriele Marchilli,oggi sto un po incasinato però,1,12134400000,12150400000,16000000,298,0,1
Gabriele Marchilli,però dai ce la potrei fare,1,12159600000,12171200000,11600000,299,0,1
Gabriele Marchilli,dove ci vediamo,1,12202400000,12215600000,13200000,300,0,1
Gabriele Marchilli,ok a dopo,1,12240000000,12259200000,19200000,301,0,1
Gabriele Marchilli,ciao,1,12268400000,12278800000,10400000,302,0,1
Samurai Valerio,presidente cinaglia,1,12463600000,12477600000,14000000,303,0,1
Samurai Valerio,avrei bisogno di un minuto del suo tempo,1,12516000000,12536000000,20000000,304,0,1
Samurai Valerio,cosa fa,1,12570400000,12581600000,11200000,305,0,1
Samurai Valerio,non è neanche curioso di sentire cosa ho da dirle,1,12582400000,12608000000,25600000,306,0,1
Amedeo Cinaglia,no,1,12613200000,12623200000,10000000,307,0,1
Amedeo Cinaglia,io da lei non voglio sentire niente arrivederci,1,12625200000,12648400000,23200000,308,0,1
Samurai Valerio,un politico che prende l autobus,1,13305200000,13327600000,22400000,309,0,1
Samurai Valerio,di solito ci salite in campagna elettorale a caccia di voti,1,13356000000,13386800000,30800000,310,0,1
Amedeo Cinaglia,io lo prendo tutti i giorni,1,13403600000,13417600000,14000000,311,0,1
Samurai Valerio,perché lei è un vero rappresentante del popolo,1,13448800000,13472400000,23600000,312,0,1
Amedeo Cinaglia,esatto solo che non rappresento quelli come lei,1,13473200000,13504800000,31600000,313,0,1
Samurai Valerio,dice,1,13505600000,13515600000,10000000,314,0,1
Samurai Valerio,pensi che io posso anche averla votata,1,13524000000,13551600000,27600000,315,0,1
Amedeo Cinaglia,lo escludo,1,13524000000,13551600000,27600000,316,0,1
Samurai Valerio,roma ha bisogno di politici come lei,1,13570400000,13592000000,21600000,317,0,1
Samurai Valerio,politici che stanno in mezzo alla gente e amano questa città,1,13603200000,13635600000,32400000,318,0,1
Samurai Valerio,vanno valorizzati questi uomini perché ce ne sono sempre di meno,1,13726400000,13762000000,35600000,319,0,1
Amedeo Cinaglia,certo e lei sa come valorizzarli,1,13770000000,13796000000,26000000,320,0,1
Amedeo Cinaglia,ma in cambio,1,13810000000,13821200000,11200000,321,0,1
Amedeo Cinaglia,cosa vuole,1,13832000000,13840400000,8400000,322,0,1
Samurai Valerio,io e lei vogliamo la stessa cosa,1,13856400000,13874800000,18400000,323,0,1
Samurai Valerio,il bene di roma,1,13893200000,13906400000,13200000,324,0,1
Sara Monaschi,ehi come stai,1,14305600000,14325200000,19600000,325,0,0
Gabriele Marchilli,ciao,1,14305600000,14325200000,19600000,326,0,1
Gabriele Marchilli,mi sei mancata,1,14362400000,14376800000,14400000,327,0,1
Sara Monaschi,senti lele io ti ho chiamato perché mi serve il tuo aiuto,1,14406000000,14438800000,32800000,328,0,0
Sara Monaschi,devo organizzare una festa stasera mi devi dare una mano,1,14446400000,14476400000,30000000,329,0,0
Gabriele Marchilli,mi hai chiamato per una festa,1,14493600000,14522800000,29200000,330,0,1
Sara Monaschi,sì ma è una cosa importante,1,14493600000,14522800000,29200000,331,0,0
Sara Monaschi,un ospite particolare a cui tengo molto,1,14536800000,14568000000,31200000,332,0,0
Gabriele Marchilli,ci provo,1,14536800000,14568000000,31200000,333,0,1
Sara Monaschi,non mi basta un tentativo,1,14568800000,14586000000,17200000,334,0,0
Gabriele Marchilli,sara,1,14568800000,14586000000,17200000,335,0,1
Gabriele Marchilli,non mi chiami da tre mesi,1,14586800000,14610400000,23600000,336,0,1
Sara Monaschi,dai gabriele,1,14586800000,14610400000,23600000,337,0,0
Sara Monaschi,gabriele per favore,1,14611200000,14627200000,16000000,338,0,0
Gabriele Marchilli,va bene,1,14638000000,14653200000,15200000,339,0,1
Sara Monaschi,ti prego,1,14638000000,14653200000,15200000,340,0,0
Gabriele Marchilli,avrai le migliori puttane e la migliore cocaina di roma,1,14658800000,14681600000,22800000,341,1,1
Gabriele Marchilli,però è l ultima cosa che faccio per te,1,14682400000,14698000000,15600000,342,0,1
Livia Adami,guarda come s è ridotto sto posto fa schifo,1,14769600000,14801200000,31600000,343,0,0
Aureliano Adami,ma tu te lo devi immaginare diverso,1,14819600000,14857600000,38000000,344,0,1
Livia Adami,e quanto mi costa immaginarlo diverso,1,14819600000,14857600000,38000000,345,0,0
Aureliano Adami,una piotta o una piotta e mezzo,1,14858400000,14879600000,21200000,346,0,1
Aureliano Adami,tuo padre caccia i soldi per uno zingaro di merda ma niente per sistemare qui,1,14927200000,14971600000,44400000,347,1,1
Livia Adami,perché non gli proponi un altra cosa se non te lo vuole dare non te lo dà,1,14972400000,15008000000,35600000,348,0,0
Aureliano Adami,perché questo era di mamma,1,15008800000,15024400000,15600000,349,0,1
Aureliano Adami,io questo voglio non voglio un altra cosa,1,15052400000,15071200000,18800000,350,0,1
Livia Adami,ristorante discoteca e slot,1,15160400000,15183600000,23200000,351,0,0
Livia Adami,con meno di 300 000 euro non te la cavi aurelia,1,15184400000,15210000000,25600000,352,0,0
Aureliano Adami,i conti sono roba tua,1,15227200000,15245600000,18400000,353,0,1
Aureliano Adami,infatti questo posto devi gestirlo tu mica io,1,15275200000,15300000000,24800000,354,0,1
Livia Adami,facciamo una cosa tu chiedi scusa allo zingaro e io parlo con papà,1,15312400000,15350000000,37600000,355,0,0
Livia Adami,e vediamo che si può fare,1,15356000000,15370800000,14800000,356,0,0
Aureliano Adami,così avremo una cosa mia e tua senza quel rompicoglioni di mezzo,1,15396800000,15434000000,37200000,357,1,1
Aureliano Adami,il migliore stabilimento di ostia,1,15441200000,15462000000,20800000,358,0,1
Livia Adami,pareggia sta storia e io parlo con papà,1,15466400000,15492400000,26000000,359,0,0
Livia Adami,andiamo va che sento freddo,1,15511600000,15536800000,25200000,360,0,0
Aureliano Adami,facciamo che prima parli con papà,1,15590000000,15608000000,18000000,361,0,1
Aureliano Adami,se dice di sì pareggio la cosa con lo zingaro,1,15608800000,15636800000,28000000,362,0,1
Livia Adami,ti ho detto che c ho freddo andiamo,1,15663600000,15687200000,23600000,363,0,0
Livia Adami,facciamo una passerella che mi si rovinano le scarpe,1,15702400000,15741600000,39200000,364,0,0
Amedeo Cinaglia,ma che cazzo guardi mo vado lì e gli spacco la faccia,1,15969200000,16002800000,33600000,366,1,1
Amedeo Cinaglia,repetita iuvant,1,16042000000,16058400000,16400000,368,0,1
Amedeo Cinaglia,al mio umore,1,16059200000,16080400000,21200000,370,0,1
Amedeo Cinaglia,sapere se il sindaco ci ripenserà,1,16081200000,16102400000,21200000,372,0,1
Amedeo Cinaglia,il partito ha già scelto il prossimo candidato,1,16103200000,16126000000,22800000,374,0,1
Amedeo Cinaglia,non lo so gabriella,1,16148400000,16164000000,15600000,376,0,1
Amedeo Cinaglia,presto ci saranno nuove elezioni voglio che il partito mi sostenga,1,16164800000,16196000000,31200000,378,0,1
Amedeo Cinaglia,no,1,16196800000,16212800000,16000000,380,0,1
Amedeo Cinaglia,voi mi avete usato,1,16213600000,16224800000,11200000,381,0,1
Amedeo Cinaglia,vi sono serviti i voti delle periferie vi facevano comodo,1,16225600000,16253600000,28000000,382,0,1
Amedeo Cinaglia,poi invece mi avete sbattuto in una commissione del cazzo,1,16254400000,16279600000,25200000,383,1,1
Amedeo Cinaglia,non lo sono,1,16280400000,16300000000,19600000,385,0,1
Amedeo Cinaglia,voglio solo portare avanti le mie idee che un tempo erano anche le tue,1,16300800000,16331200000,30400000,386,0,1
Amedeo Cinaglia,dello stronzo lì in fondo non credo,1,16332000000,16362800000,30800000,387,1,1
Amedeo Cinaglia,voglio essere tra i primi tre della lista,1,16377600000,16395200000,17600000,389,0,1
Amedeo Cinaglia,e se vinciamo l assessorato alle politiche sociali,1,16396000000,16423200000,27200000,390,0,1
Amedeo Cinaglia,da quand è che lo fate scegliere,1,16466400000,16482400000,16000000,392,0,1
Amedeo Cinaglia,tu pensi che io non sono all altezza,1,16520000000,16538000000,18000000,394,0,1
Amedeo Cinaglia,perché,1,16550000000,16563200000,13200000,396,0,1
Amedeo Cinaglia,un povero coglione con degli ideali eh,1,16630400000,16652800000,22400000,399,1,1
Amedeo Cinaglia,sono un coglione,1,16659600000,16671200000,11600000,400,1,1
Amedeo Cinaglia,sono un coglione gabrie,1,16682400000,16695600000,13200000,401,1,1
Samurai Valerio,devi convincere theodosiou a far vendere quei terreni a noi,1,16865600000,16896400000,30800000,404,0,1
Samurai Valerio,dietro sto affare ci sono le famiglie di giù,1,16897200000,16915200000,18000000,405,0,1
Samurai Valerio,con la mafia non si scherza lo capisci o no,1,16916000000,16939600000,23600000,406,0,1
Samurai Valerio,eminenza hai riciclato i loro soldi per 30 anni,1,16980000000,17015600000,35600000,408,0,1
Samurai Valerio,la monaschi,1,17070000000,17084000000,14000000,409,0,1
Gabriele Marchilli,scusa,1,17270400000,17282800000,12400000,410,0,1
Gabriele Marchilli,scusa tu sei aureliano,1,17296400000,17315200000,18800000,411,0,1
Aureliano Adami,chi cazzo sei,1,17325200000,17351200000,26000000,412,1,1
Gabriele Marchilli,sergio ti ha chiamato,1,17325200000,17351200000,26000000,413,0,1
Aureliano Adami,ti ho chiesto chi cazzo sei,1,17356400000,17379200000,22800000,414,1,1
Gabriele Marchilli,sergio t ha chiamato o no,1,17385600000,17403600000,18000000,415,0,1
Aureliano Adami,che vuoi,1,17422800000,17431600000,8800000,416,0,1
Gabriele Marchilli,mi serve la coca,1,17438800000,17451600000,12800000,417,0,1
Aureliano Adami,ti pare che sto lavorando,1,17476000000,17492000000,16000000,418,0,1
Gabriele Marchilli,no però immagino che,1,17496400000,17516400000,20000000,419,0,1
Aureliano Adami,però un cazzo,1,17496400000,17516400000,20000000,420,1,1
Aureliano Adami,qua se vuoi parlare ti metti i guantoni,1,17543600000,17563200000,19600000,421,0,1
Gabriele Marchilli,stai scherzando,1,17571600000,17590400000,18800000,422,0,1
Aureliano Adami,no,1,17571600000,17590400000,18800000,423,0,1
Aureliano Adami,adria porta un paio di guantoni a sto ragazzo,1,17611600000,17643600000,32000000,424,0,1
Aureliano Adami,dai,1,17704400000,17712800000,8400000,425,0,1
Gabriele Marchilli,piano,1,17713600000,17735600000,22000000,426,0,1
Aureliano Adami,copriti,1,17713600000,17735600000,22000000,427,0,1
Aureliano Adami,copriti,1,17736400000,17761600000,25200000,428,0,1
Aureliano Adami,dai però va bene facciamo così,1,17770000000,17791600000,21600000,429,0,1
Aureliano Adami,facciamo così dai forza,1,17792400000,17812000000,19600000,430,0,1
Aureliano Adami,dai forza,1,17817600000,17845200000,27600000,431,0,1
Aureliano Adami,ma guarda mi ha preso,1,17909600000,17923200000,13600000,433,0,1
Aureliano Adami,mo possiamo parlare,1,18040800000,18054800000,14000000,434,0,1
Sara Monaschi,chi,1,18254000000,18262400000,8400000,437,0,0
Samurai Valerio,mi dispiace di averla interrotta,1,18396000000,18414000000,18000000,439,0,1
Samurai Valerio,ma passavo di qui ed ero curioso di conoscerla,1,18418400000,18444000000,25600000,440,0,1
Sara Monaschi,conoscermi,1,18468000000,18478800000,10800000,441,0,0
Samurai Valerio,beh ho sentito molto parlare di lei,1,18486400000,18507200000,20800000,442,0,1
Samurai Valerio,del fatto che adesso sta in quella commissione del vaticano,1,18513600000,18542400000,28800000,443,0,1
Samurai Valerio,perché non si siede,1,18559600000,18571200000,11600000,444,0,1
Sara Monaschi,senta che cosa vuole da me,1,18598400000,18628800000,30400000,445,0,0
Samurai Valerio,i terreni di ostia,1,18598400000,18628800000,30400000,446,0,1
Samurai Valerio,quei 20 ettari che adesso col nuovo piano regolatore diventeranno edificabili,1,18641600000,18679200000,37600000,447,0,1
Samurai Valerio,e che il vaticano deve solo decidere a chi vendere,1,18680000000,18706800000,26800000,448,0,1
Sara Monaschi,guardi che non sono io a decidere a chi vendere,1,18733600000,18755600000,22000000,449,0,0
Sara Monaschi,io sono solo un revisore dei conti,1,18756400000,18775200000,18800000,450,0,0
Sara Monaschi,mi dispiace ma non posso aiutarla,1,18780000000,18809600000,29600000,451,0,0
Samurai Valerio,dr ssa monaschi,1,18780000000,18809600000,29600000,452,0,1
Samurai Valerio,scommetto che mentre lei rivede i conti del vaticano,1,18863200000,18891600000,28400000,453,0,1
Samurai Valerio,quei terreni finiscono nelle mani della società di suo marito,1,18897200000,18932000000,34800000,454,0,1
Samurai Valerio,roma è una città chiacchierona le voci girano,1,18949600000,18982000000,32400000,455,0,1
Samurai Valerio,vede sapevo dove trovarla,1,18993200000,19011600000,18400000,456,0,1
Samurai Valerio,e so anche dove ritrovarla,1,19018800000,19037600000,18800000,457,0,1
Samurai Valerio,se serve,1,19042800000,19051600000,8800000,458,0,1
Samurai Valerio,ci pensi su,1,19082800000,19093600000,10800000,459,0,1
Samurai Valerio,mi faccia sapere quanto vuole per quei terreni,1,19102000000,19126000000,24000000,460,0,1
Samurai Valerio,posso essere molto generoso,1,19131600000,19151200000,19600000,461,0,1
Livia Adami,pa l idea di aureliano di ristrutturare il chiosco di mamma non è male,1,19360400000,19396400000,36000000,464,0,0
Livia Adami,guarda che l idea è buona ci si possono fare un sacco di soldi,1,19435200000,19468000000,32800000,466,0,0
Livia Adami,perché,1,19479200000,19497600000,18400000,468,0,0
Livia Adami,samurai,1,19643200000,19673200000,30000000,472,0,0
Livia Adami,che se ne fa samurai,1,19678000000,19693600000,15600000,473,0,0
Livia Adami,e noi che ci guadagniamo,1,19780400000,19794400000,14000000,476,0,0
Livia Adami,perché non l hai detto ad aureliano,1,19948400000,19966400000,18000000,481,0,0
Livia Adami,a me però le dici,1,20027200000,20045600000,18400000,483,0,0
Alberto Anacleti,perché chi lo dice,1,20365200000,20388000000,22800000,490,0,1
Alberto Anacleti,e che sono,1,20499600000,20510400000,10800000,494,0,1
Livia Adami,poca roba,1,20767600000,20782800000,15200000,499,0,0
Aureliano Adami,ha detto di no vero,1,20851200000,20866000000,14800000,500,0,1
Aureliano Adami,perché,1,20904000000,20913600000,9600000,501,0,1
Livia Adami,dice che non è un buon affare,1,20934400000,20950400000,16000000,502,0,0
Aureliano Adami,certo è un idea mia,1,20992000000,21008800000,16800000,503,0,1
Livia Adami,no non è per questo,1,21024400000,21037200000,12800000,504,0,0
Aureliano Adami,e perché allora,1,21042800000,21057200000,14400000,505,0,1
Livia Adami,la storia con gli zingari si deve risolvere,1,21068000000,21089200000,21200000,506,0,0
Livia Adami,è importante,1,21134000000,21146800000,12800000,507,0,0
Aureliano Adami,però a me non me ne frega un cazzo,1,21184000000,21199200000,15200000,508,1,1
Livia Adami,non lo vuoi fare perché te l ha chiesto papà,1,21218000000,21240000000,22000000,509,0,0
Livia Adami,fallo per me,1,21244800000,21254800000,10000000,510,0,0
Livia Adami,fallo perché te lo chiedo io,1,21277200000,21296000000,18800000,511,0,0
Livia Adami,aurelia,1,21309600000,21318800000,9200000,512,0,0
Livia Adami,oh,1,21356800000,21365600000,8800000,513,0,0
Livia Adami,mi rispondi,1,21395600000,21406800000,11200000,514,0,0
Gabriele Marchilli,sì,1,21862400000,21885200000,22800000,519,0,1
Gabriele Marchilli,manca la tesi,1,21891600000,21911600000,20000000,520,0,1
Gabriele Marchilli,boh mo vediamo,1,21912400000,21928800000,16400000,522,0,1
Gabriele Marchilli,scusate devo andare ciao gianni grazie,1,22043200000,22067600000,24400000,532,0,1
Gabriele Marchilli,grazie,1,22068400000,22086000000,17600000,534,0,1
Manfredi Anacleti,sta arrivando spadino,1,22361200000,22377600000,16400000,540,0,1
Alberto Anacleti,oh,1,22536400000,22545600000,9200000,543,0,1
Alberto Anacleti,dammene un altro,1,22551600000,22562400000,10800000,544,0,1
Alberto Anacleti,ti ho detto dammene un altro,1,22607200000,22627200000,20000000,546,0,1
Alberto Anacleti,dai canta,1,24188400000,24212800000,24400000,551,0,1
Alberto Anacleti,dai,1,24188400000,24212800000,24400000,552,0,1
Alberto Anacleti,canta,1,24213600000,24225200000,11600000,553,0,1
Alberto Anacleti,eh,1,24368000000,24390000000,22000000,556,0,1
Contessa Sveva Della Rocca Croce,mi raccomando col parcheggio non facciamo il solito casino,1,25388000000,25414000000,26000000,580,0,0
Contessa Sveva Della Rocca Croce,sono contenta che siate venuti nonostante il poco preavviso,1,25431200000,25464400000,33200000,582,0,0
Contessa Sveva Della Rocca Croce,ma chi poteva immaginare le dimissioni del sindaco proprio oggi,1,25465200000,25496800000,31600000,583,0,0
Contessa Sveva Della Rocca Croce,sandro carissimo,1,25497600000,25537600000,40000000,585,0,0
Contessa Sveva Della Rocca Croce,tu devi essere sara,1,25542800000,25566800000,24000000,586,0,0
Sara Monaschi,buonasera,1,25542800000,25566800000,24000000,587,0,0
